date,DrCr,amount,balance,mode,name,Day,Month,Year,Tday
2022-01-01,Db,10000.0,473292.87,ATM,,01,01,2022,1
2022-01-01,Db,10000.0,463292.87,ATM,,01,01,2022,1
2022-01-02,Db,930.0,462362.87,UPI,AYUBRAJE,02,01,2022,2
2022-01-07,Db,2000.0,460362.87,UPI,ABUTALAH,07,01,2022,3
2022-01-10,Db,1000.0,459362.87,UPI,AGRAWALB,10,01,2022,4
2022-01-10,Db,1800.0,457562.87,UPI,GOASELEC,10,01,2022,4
2022-01-10,Db,5000.0,452562.87,UPI,GOASELEC,10,01,2022,4
2022-01-10,Db,3000.0,449562.87,UPI,AGRAWALB,10,01,2022,4
2022-01-10,Cr,2400.0,451962.87,NEFT,,10,01,2022,4
2022-01-12,Cr,1.0,451963.87,UPI,NAFEESAB,12,01,2022,5
2022-01-12,Cr,1000.0,452963.87,UPI,NAFEESAB,12,01,2022,5
2022-01-12,Db,1000.0,451963.87,UPI,MAHAMMADH,12,01,2022,5
2022-01-12,Db,275.0,451688.87,UPI,PHONEPE,12,01,2022,5
2022-01-12,Db,85.0,451603.87,UPI,PHONEPE,12,01,2022,5
2022-01-13,Db,563.0,451040.87,UPI,FLIPKART,13,01,2022,6
2022-01-14,Db,7000.0,444040.87,UPI,BUDESAHEB,14,01,2022,7
2022-01-22,Db,189.0,443851.87,UPI,FLIPKART,22,01,2022,8
2022-01-25,Cr,7.09,443858.96,ECS,,25,01,2022,9
2022-01-29,Cr,2400.0,446258.96,NEFT,,29,01,2022,10
2022-01-29,Db,142.0,446116.96,DEBIT CARD ANNUAL,,29,01,2022,10
2022-02-01,Cr,3187.0,449303.96,SBINT,,01,02,2022,11
2022-02-02,Db,750.0,448553.96,UPI,AYUBRAJE,02,02,2022,12
2022-02-04,Db,19600.0,428953.96,UPI,STATEBAN,04,02,2022,13
2022-02-04,Db,10000.0,418953.96,ATM,,04,02,2022,13
2022-02-04,Db,10000.0,408953.96,ATM,,04,02,2022,13
2022-02-05,Cr,52521.0,461474.96,NEFT,,05,02,2022,14
2022-02-05,Db,2000.0,459474.96,UPI,BUDESAHEB,05,02,2022,14
2022-02-10,Db,302.0,459172.96,UPI,PHONEPE,10,02,2022,15
2022-02-10,Db,85.0,459087.96,UPI,PHONEPE,10,02,2022,15
2022-02-11,Cr,2400.0,461487.96,NEFT,,11,02,2022,16
2022-02-11,Db,2000.0,459487.96,UPI,ABUTALAH,11,02,2022,16
2022-02-16,Db,600.0,458887.96,UPI,BUDESAHEB,16,02,2022,17
2022-02-21,Cr,112.0,458999.96,ECS,,21,02,2022,18
2022-02-21,Cr,8.0,459007.96,ECS,,21,02,2022,18
2022-02-21,Db,59.0,458948.96,STOCK CHRG,,21,02,2022,18
2022-02-21,Db,59.0,458889.96,STOCK CHRG,,21,02,2022,18
2022-02-21,Db,21000.0,437889.96,UPI,ABDULHAME,21,02,2022,18
2022-02-24,Db,4080.0,433809.96,UPI,NAFEESAB,24,02,2022,19
2022-02-26,Db,10000.0,423809.96,ATM,,26,02,2022,20
2022-02-26,Db,10000.0,413809.96,ATM,,26,02,2022,20
2022-03-01,Db,500.0,413309.96,UPI,ABUTALAH,01,03,2022,21
2022-03-01,Cr,2400.0,415709.96,NEFT,,01,03,2022,21
2022-03-01,Db,800.0,414909.96,UPI,AYUBRAJE,01,03,2022,21
2022-03-04,Db,1.0,414908.96,UPI,SANGALLI,04,03,2022,22
2022-03-04,Db,5400.0,409508.96,UPI,SANGALLI,04,03,2022,22
2022-03-06,Db,1000.0,408508.96,UPI,ABUTALAH,06,03,2022,23
2022-03-07,Db,89.0,408419.96,UPI,PHONEPE,07,03,2022,24
2022-03-09,Db,500.0,407919.96,UPI,SANGALLI,09,03,2022,25
2022-03-10,Cr,1.0,407920.96,UPI,NAFEESAB,10,03,2022,26
2022-03-10,Cr,11500.0,419420.96,UPI,NAFEESAB,10,03,2022,26
2022-03-10,Db,1000.0,418420.96,UPI,ABUTALAH,10,03,2022,26
2022-03-11,Cr,52601.0,471021.96,NEFT,,11,03,2022,27
2022-03-12,Db,1000.0,470021.96,UPI,SANGALLI,12,03,2022,28
2022-03-12,Db,400.0,469621.96,UPI,PHONEPE,12,03,2022,28
2022-03-13,Db,719.0,468902.96,UPI,ABUTALAH,13,03,2022,29
2022-03-16,Db,1500.0,467402.96,UPI,ABUTALAH,16,03,2022,30
2022-03-17,Cr,2400.0,469802.96,NEFT,,17,03,2022,31
2022-03-20,Db,18.0,469784.96,SMS CHARGES,,20,03,2022,32
2022-03-20,Db,500.0,469284.96,UPI,SANGALLI,22,03,2022,32
2022-03-22,Db,1.0,469283.96,UPI,KIRNAKUMA,20,03,2022,33
2022-03-23,Db,200000.0,269283.96,CHEQUE,,23,03,2022,34
2022-03-25,Db,24000.0,245283.96,UPI,ABUTALAH,25,03,2022,35
2022-03-26,Db,1000.0,244283.96,UPI,ABUTALAH,26,03,2022,36
2022-03-28,Db,10000.0,234283.96,ATM,,28,03,2022,37
2022-03-31,Db,4000.0,230283.96,UPI,ABUTALAH,31,03,2022,38
2022-04-02,Db,992.0,229291.96,UPI,AYUBRAJE,02,04,2022,39
2022-04-04,Cr,2400.0,231691.96,NEFT,,04,04,2022,40
2022-04-05,Db,5200.0,226491.96,UPI,SANGALLI,05,04,2022,41
2022-04-06,Db,200.0,226291.96,UPI,SANGALLI,06,04,2022,42
2022-04-07,Db,138.0,226153.96,UPI,PHONEPE,07,04,2022,43
2022-04-11,Db,200000.0,26153.96,CHEQUE,,11,04,2022,44
2022-04-11,Db,636.0,25517.96,UPI,PHONEPE,11,04,2022,44
2022-04-16,Cr,11500.0,37017.96,UPI,NAFEESAB,16,04,2022,45
2022-04-17,Cr,1.0,37018.96,IMPS,,17,04,2022,46
2022-04-17,Cr,17500.0,54518.96,IMPS,,17,04,2022,46
2022-04-21,Cr,52601.0,107119.96,NEFT,,21,04,2022,47
2022-04-23,Db,2000.0,105119.96,UPI,ABUTALAH,23,04,2022,48
2022-04-24,Db,5500.0,99619.96,UPI,SANGALLI,24,04,2022,49
2022-04-27,Db,1500.0,98119.96,UPI,MAHAMMADH,27,04,2022,50
2022-04-28,Cr,2400.0,100519.96,NEFT,,28,04,2022,51
2022-04-29,Db,1000.0,99519.96,UPI,ABUTALAH,29,04,2022,52
2022-05-01,Cr,2238.0,101757.96,SBINT,,01,05,2022,53
2022-05-02,Db,928.0,100829.96,UPI,AYUBRAJE,02,05,2022,54
2022-05-04,Cr,11500.0,112329.96,UPI,NAFEESAB,04,05,2022,55
2022-05-06,Db,5400.0,106929.96,UPI,SANGALLI,06,05,2022,56
2022-05-07,Cr,53912.0,160841.96,NEFT,,07,05,2022,57
2022-05-11,Cr,1.0,160842.96,UPI,NAFEESAB,11,05,2022,58
2022-05-11,Cr,1000.0,161842.96,UPI,NAFEESAB,11,05,2022,58
2022-05-11,Cr,7.09,161850.05,ECS,,11,05,2022,58
2022-05-11,Db,2000.0,159850.05,UPI,ABUTALICN,11,05,2022,58
2022-05-12,Db,10000.0,149850.05,ATM,,12,05,2022,59
2022-05-13,Db,26817.0,123033.05,UPI,HDFCBANK,13,05,2022,60
2022-05-13,Db,104.0,122929.05,UPI,PHONEPE,13,05,2022,60
2022-05-13,Db,549.0,122380.05,UPI,PHONEPE,13,05,2022,60
2022-05-18,Db,2879.0,119501.05,UPI,PHONEPE,18,05,2022,61
2022-05-18,Db,1000.0,118501.05,UPI,ABUTALAH,18,05,2022,61
2022-05-25,Cr,3933.0,122434.05,NEFT,,25,05,2022,62
2022-05-25,Db,500.0,121934.05,UPI,ABUTALAH,25,05,2022,62
2022-05-27,Db,298.0,121636.05,UPI,FLIPKART,27,05,2022,63
2022-05-27,Db,10000.0,111636.05,ATM,,27,05,2022,63
2022-05-29,Db,899.0,110737.05,UPI,FLIPKART,29,05,2022,64
2022-06-01,Cr,11500.0,122237.05,UPI,NAFEESAB,01,06,2022,65
2022-06-03,Cr,53912.0,176149.05,NEFT,,03,06,2022,66
2022-06-03,Db,832.0,175317.05,UPI,AYUBRAJE,03,06,2022,66
2022-06-03,Db,290.0,175027.05,UPI,FLIPKART,03,06,2022,66
2022-06-05,Db,1000.0,174027.05,UPI,ABUTALAH,05,06,2022,67
2022-06-08,Db,87.0,173940.05,UPI,PHONEPE,08,06,2022,68
2022-06-09,Db,26282.0,147658.05,UPI,DADAKHALA,09,06,2022,69
2022-06-11,Db,457.0,147201.05,UPI,PHONEPE,11,06,2022,70
2022-06-13,Db,300.0,146901.05,UPI,ADINATHM,13,06,2022,71
2022-06-13,Cr,7.09,146908.14,ECS,,13,06,2022,71
2022-06-13,Db,26940.0,119968.14,UPI,HDFCBANK,13,06,2022,71
2022-06-13,Cr,25000.0,144968.14,UPI,DADAKHALA,13,06,2022,71
2022-06-14,Db,200.0,144768.14,UPI,ABUTALAH,14,06,2022,72
2022-06-15,Cr,1.0,144769.14,UPI,ABUTALAH,15,06,2022,73
2022-06-15,Db,10000.0,134769.14,ATM,,15,06,2022,73
2022-06-17,Db,500.0,134269.14,UPI,ABUTALAH,17,06,2022,74
2022-06-19,Db,18.0,134251.14,SMS CHARGES,,19,06,2022,75
2022-06-20,Db,1500.0,132751.14,UPI,ABUTALAH,20,06,2022,76
2022-06-26,Db,500.0,132251.14,UPI,ABUTALAH,26,06,2022,77
2022-06-27,Cr,22102.0,154353.14,NEFT,,27,06,2022,78
2022-06-29,Db,500.0,153853.14,UPI,ABUTALAH,29,06,2022,79
2022-07-01,Db,26286.0,127567.14,UPI,HDFCBANK,01,07,2022,80
2022-07-02,Cr,11500.0,139067.14,UPI,NAFEESAB,02,07,2022,81
2022-07-04,Db,960.0,138107.14,UPI,AYUBRAJE,04,07,2022,82
2022-07-05,Cr,53712.0,191819.14,NEFT,,05,07,2022,83
2022-07-05,Db,5400.0,186419.14,UPI,SANGALLI,05,07,2022,83
2022-07-05,Db,1800.0,184619.14,UPI,MAHAMMADH,05,07,2022,83
2022-07-07,Db,525.0,184094.14,UPI,IBRAHIMK,07,07,2022,84
2022-07-08,Db,100.0,183994.14,UPI,PHONEPE,08,07,2022,85
2022-07-12,Db,500.0,183494.14,UPI,ABUTALAH,12,07,2022,86
2022-07-13,Db,1450.0,182044.14,UPI,IBRAHIMK,13,07,2022,87
2022-07-16,Db,10000.0,172044.14,ATM,,16,07,2022,88
2022-07-17,Cr,700.0,172744.14,UPI,ISUFSABA,17,07,2022,89
2022-07-17,Cr,1500.0,174244.14,UPI,ISUFSABA,17,07,2022,89
2022-07-21,Db,500.0,173744.14,UPI,ABUTALAH,21,07,2022,90
2022-07-23,Db,496.0,173248.14,UPI,PHONEPE,23,07,2022,91
2022-07-28,Db,2000.0,171248.14,UPI,ABUTALAH,28,07,2022,92
2022-07-29,Db,160000.0,11248.14,CHEQUE,,29,07,2022,93
2022-08-01,Cr,1038.0,12286.14,SBINT,,01,08,2022,94
2022-08-01,Db,627.0,11659.14,UPI,DOMINOSP,01,08,2022,94
2022-08-01,Db,114.0,11545.14,UPI,DOMINOSP,01,08,2022,94
2022-08-01,Cr,11500.0,23045.14,UPI,NAFEESAB,01,08,2022,94
2022-08-02,Db,1000.0,22045.14,ATM,,02,08,2022,95
2022-08-02,Cr,53912.0,75957.14,NEFT,,02,08,2022,95
2022-08-03,Db,1120.0,74837.14,UPI,AYUBRAJE,03,08,2022,96
2022-08-03,Db,26286.0,48551.14,UPI,HDFCBANK,03,08,2022,96
2022-08-06,Db,5000.0,43551.14,UPI,BUDESAHEB,06,08,2022,97
2022-08-06,Db,1000.0,42551.14,UPI,SANGALLI,06,08,2022,97
2022-08-07,Db,422.0,42129.14,UPI,IBRAHIMK,07,08,2022,98
2022-08-07,Db,9000.0,33129.14,ATM,,07,08,2022,98
2022-08-07,Db,5000.0,28129.14,ATM,,07,08,2022,98
2022-08-07,Db,100.0,28029.14,UPI,PHONEPE,07,08,2022,98
2022-08-11,Cr,7.09,28036.23,ECS,,11,08,2022,99
2022-08-12,Db,500.0,27536.23,UPI,ABUTALAH,12,08,2022,100
2022-08-14,Db,382.0,27154.23,UPI,PHONEPE,14,08,2022,101
2022-08-17,Db,719.0,26435.23,UPI,PHONEPE,17,08,2022,102
2022-08-17,Db,1000.0,25435.23,UPI,ABUTALAH,17,08,2022,102
2022-08-20,Db,100.0,25335.23,UPI,NINECITY,20,08,2022,103
2022-08-22,Db,2000.0,23335.23,UPI,MAHAMMADH,22,08,2022,104
2022-08-22,Db,938.0,22397.23,UPI,KOTAKGEN,22,08,2022,104
2022-08-22,Cr,938.0,23335.23,UPI,PHONEPE,22,08,2022,104
2022-08-23,Db,1200.0,22135.23,UPI,ABUTALAH,23,08,2022,105
2022-08-23,Db,100.0,22035.23,UPI,ABUTALAH,23,08,2022,105
2022-08-26,Cr,360000.0,382035.23,FUNDS TRANSFER DEBIT,,26,08,2022,106
2022-08-29,Db,1980.0,380055.23,UPI,BUDESAHEB,29,08,2022,107
2022-09-01,Cr,53912.0,433967.23,NEFT,,01,09,2022,108
2022-09-01,Cr,11500.0,445467.23,UPI,NAFEESAB,01,09,2022,108
2022-09-02,Db,26286.0,419181.23,UPI,HDFCBANK,02,09,2022,109
2022-09-02,Db,530.0,418651.23,UPI,BAJAJFIN,02,09,2022,109
2022-09-03,Db,980.0,417671.23,UPI,AYUBRAJE,03,09,2022,110
2022-09-05,Db,6400.0,411271.23,UPI,SANGALLI,05,09,2022,111
2022-09-05,Db,300000.0,111271.23,CHEQUE,,05,09,2022,111
2022-09-05,Db,100.0,111171.23,UPI,PHONEPE,05,09,2022,111
2022-09-06,Db,14000.0,97171.23,UPI,ABUTALAH,06,09,2022,112
2022-09-07,Db,1737.01,95434.22,UPI,1MGHEALT,07,09,2022,113
2022-09-08,Cr,191.39,95625.61,UPI,1MGHEALT,08,09,2022,114
2022-09-09,Cr,148.53,95774.14,UPI,1MGHEALT,09,09,2022,115
2022-09-11,Db,553.0,95221.14,UPI,PHONEPE,11,09,2022,116
2022-09-11,Db,1200.0,94021.14,UPI,ABUTALAH,11,09,2022,116
2022-09-12,Cr,84.0,94105.14,ECS,,12,09,2022,117
2022-09-12,Db,100.0,94005.14,UPI,ABUTALAH,12,09,2022,117
2022-09-17,Db,2000.0,92005.14,UPI,ABUTALAH,17,09,2022,118
2022-09-20,Db,10000.0,82005.14,ATM,,20,09,2022,119
2022-09-20,Cr,2.5,82007.64,ECS,,20,09,2022,119
2022-09-22,Db,5500.0,76507.64,UPI,BUDESAHEB,22,09,2022,120
2022-09-23,Cr,7.09,76514.73,ECS,,23,09,2022,121
2022-09-24,Db,18.0,76496.73,SMS CHARGES,,24,09,2022,122
2022-09-28,Cr,1.0,76497.73,IMPS,,28,09,2022,123
2022-09-30,Db,37000.0,39497.73,UPI,ABUTALAH,30,09,2022,124
2022-09-30,Cr,53912.0,93409.73,NEFT,,30,09,2022,124
2022-10-01,Db,980.0,92429.73,UPI,AYUBRAJE,01,10,2022,125
2022-10-03,Db,10000.0,82429.73,ATM,,03,10,2022,126
2022-10-03,Db,26286.0,56143.73,UPI,HDFCBANK,03,10,2022,126
2022-10-03,Db,5200.0,50943.73,UPI,BUDESAHEB,03,10,2022,126
2022-10-03,Db,36000.0,14943.73,UPI,ABUTALAH,03,10,2022,126
2022-10-04,Cr,11500.0,26443.73,UPI,NAFEESAB,04,10,2022,127
2022-10-09,Db,100.0,26343.73,UPI,PHONEPE,09,10,2022,128
2022-10-12,Cr,97.02,26440.75,ECS,,12,10,2022,129
2022-10-15,Db,145.0,26295.75,UPI,MAHARANI,15,10,2022,130
2022-10-16,Db,10000.0,16295.75,ATM,,16,10,2022,131
2022-10-18,Db,1500.0,14795.75,UPI,ABUTALAH,18,10,2022,132
2022-10-23,Db,2500.0,12295.75,UPI,ABUTALAH,23,10,2022,133
2022-10-26,Db,500.0,11795.75,UPI,SANGALLI,26,10,2022,134
2022-10-27,Cr,5361.0,17156.75,NEFT,,27,10,2022,135
2022-10-28,Db,189.0,16967.75,UPI,FLIPKART,28,10,2022,136
2022-10-31,Db,2000.0,14967.75,UPI,ABUTALAH,31,10,2022,137
2022-11-01,Cr,622.0,15589.75,SBINT,,01,11,2022,138
2022-11-01,Db,549.0,15040.75,UPI,AMAZONPAY,01,11,2022,138
2022-11-03,Cr,41699.0,56739.75,NEFT,,03,11,2022,139
2022-11-03,Cr,11500.0,68239.75,UPI,NAFEESAB,03,11,2022,139
2022-11-03,Db,5400.0,62839.75,UPI,SANGALLI,03,11,2022,139
2022-11-04,Db,805.0,62034.75,UPI,AYUBRAJE,04,11,2022,140
2022-11-06,Db,26286.0,35748.75,UPI,HDFCBANK,06,11,2022,141
2022-11-10,Db,666.0,35082.75,UPI,PHONEPE,10,11,2022,142
2022-11-11,Db,500.0,34582.75,UPI,ABUTALAH,11,11,2022,143
2022-11-14,Db,10000.0,24582.75,ATM,,14,11,2022,144
2022-11-15,Db,1.0,24581.75,UPI,NANDISHM,15,11,2022,145
2022-11-15,Db,6099.0,18482.75,UPI,NANDISHM,15,11,2022,145
2022-11-15,Db,900.0,17582.75,UPI,NANDISHM,15,11,2022,145
2022-11-17,Cr,30919.0,48501.75,NEFT,,17,11,2022,146
2022-11-17,Db,132.0,48369.75,UPI,FLIPKART,17,11,2022,146
2022-11-18,Db,700.0,47669.75,UPI,BUDESAHEB,18,11,2022,147
2022-11-19,Db,1000.0,46669.75,UPI,ABUTALAH,19,11,2022,148
2022-11-21,Db,493.0,46176.75,UPI,PHONEPE,21,11,2022,149
2022-11-22,Db,424.0,45752.75,UPI,PHONEPE,22,11,2022,150
2022-11-24,Cr,33117.0,78869.75,NEFT,,24,11,2022,151
2022-11-24,Db,100.0,78769.75,UPI,PHONEPE,24,11,2022,151
2022-11-24,Db,1000.0,77769.75,UPI,ABUTALAH,24,11,2022,151
2022-11-25,Db,4400.0,73369.75,UPI,BUDESAHEB,25,11,2022,152
2022-11-28,Db,3030.0,70339.75,UPI,MOMAHADHU,28,11,2022,153
2022-12-01,Cr,41299.0,111638.75,NEFT,,01,12,2022,154
2022-12-01,Db,1000.0,110638.75,UPI,ABUTALAH,01,12,2022,154
2022-12-02,Cr,11500.0,122138.75,UPI,NAFEESAB,02,12,2022,155
2022-12-03,Db,26286.0,95852.75,UPI,HDFCBANK,03,12,2022,156
2022-12-03,Db,420.0,95432.75,UPI,AYUBRAJE,03,12,2022,156
2022-12-04,Cr,1.0,95433.75,UPI,ASGARALI,04,12,2022,157
2022-12-04,Cr,4570.0,100003.75,UPI,ASGARALI,04,12,2022,157
2022-12-05,Cr,123.2,100126.95,ECS,,05,12,2022,158
2022-12-05,Db,5400.0,94726.95,UPI,SANGALLI,05,12,2022,158
2022-12-06,Db,1500.0,93226.95,UPI,ABUTALAH,06,12,2022,159
2022-12-13,Db,399.0,92827.95,UPI,PHONEPE,13,12,2022,160
2022-12-13,Db,1.0,92826.95,UPI,HUCHCHAPP,13,12,2022,160
2022-12-13,Db,2999.0,89827.95,UPI,HUCHCHAPP,13,12,2022,160
2022-12-14,Db,199.0,89628.95,UPI,FLIPKART,14,12,2022,161
2022-12-14,Cr,1.0,89629.95,UPI,BHIMANAGO,14,12,2022,161
2022-12-14,Cr,1300.0,90929.95,UPI,BHIMANAGO,14,12,2022,161
2022-12-14,Cr,1300.0,92229.95,UPI,MALATESH,14,12,2022,161
2022-12-16,Cr,1300.0,93529.95,UPI,SHIVANAND,16,12,2022,162
2022-12-16,Db,23000.0,70529.95,UPI,ABUTALAH,16,12,2022,162
2022-12-20,Cr,1300.0,71829.95,UPI,HANAMANTH,20,12,2022,163
2022-12-21,Cr,200.0,72029.95,UPI,RAHILMAN,21,12,2022,164
2022-12-21,Db,2000.0,70029.95,UPI,ABUTALAH,21,12,2022,164
